674050688943415296<||>Tue Dec 08 02:19:42 +0000 2015<||>#Chennai #Urgent Need 2 A1-ve #blood units @ Billroth Hosp, Shenoy Nagar. Call 9886869666 #BloodAid via @Rajalak71746048 cc @khushsundar
674050721155710977<||>Tue Dec 08 02:19:49 +0000 2015<||>@davidfrawleyved Bible is first shipment to any disaster zone. Hell with stuff like food, medicines, other help etc. Doing in Chennai now
674051149964554240<||>Tue Dec 08 02:21:32 +0000 2015<||>We are coming with relief material can you please route us to the right place in Chennai @RJ_Balaji
674052208808226816<||>Tue Dec 08 02:25:44 +0000 2015<||>Anyone from KK nagar, #chennai?  please reply. #Help #SOS   #chennairain
674052521497747457<||>Tue Dec 08 02:26:59 +0000 2015<||>Home alone with one candle, half-empty water can and half a loaf of bread. https://t.co/NlwMXUaHwh #ChennaiFloods
674053008330768384<||>Tue Dec 08 02:28:55 +0000 2015<||>#ChennaiFloods Ventura Pumps team will dewater homes for free in #Chennai. Contact Navin:9952417860 9087259990... https://t.co/g2FnK590Ny
674053302061957120<||>Tue Dec 08 02:30:05 +0000 2015<||>No change of clothes for many at relief camps https://t.co/DE2XkJLRzL
674053331891781632<||>Tue Dec 08 02:30:12 +0000 2015<||>ETHealthworld | Doctors' network feels Chennai's pulse, reaches out to cut-off areas https://t.co/J6dch3Do6z
674053344512487424<||>Tue Dec 08 02:30:15 +0000 2015<||>@octotus An expert says that 60% of dried up water resources around Chennai hv been converted into Patta lands with the help of officials.
674054776577855488<||>Tue Dec 08 02:35:56 +0000 2015<||>@soniaannapurani @ChennaiIPL I have water packets 2500... Pick it up from pallikaranai 9840025453
674054800665763840<||>Tue Dec 08 02:36:02 +0000 2015<||>@IndiGo6E I'm carrying relief material to chennai from Mumbai. Just had to pay a hefty 5000 as excess baggage. Not a happy morning...
674055238786134016<||>Tue Dec 08 02:37:46 +0000 2015<||>Shah Rukh Khan has donated Rs 1 crore to the Chief Minister's Public Relief Fund for the Chennai deluge victims... https://t.co/S0xo1qmB9B
674055453110734848<||>Tue Dec 08 02:38:38 +0000 2015<||>@Swamy39 @rvaidya2000 @MRVChennai  CONGOONS will thumb nose @ courts 2day SoGa abroad -may return tomm RaGa going Chennai for #ChennaiFloods
674055830199660544<||>Tue Dec 08 02:40:07 +0000 2015<||>We are coming with relief material Can you please route us to the right place in Chennai @Chinmayi  https://t.co/SvAXzoQ0SM
674056145959452672<||>Tue Dec 08 02:41:23 +0000 2015<||>Partial relief in this part of city https://t.co/nhgEYDfweu #Chennai
674056146714419200<||>Tue Dec 08 02:41:23 +0000 2015<||>The big city clean-up: volunteers in demand https://t.co/myoa8faUtj #Chennai
674056346153517056<||>Tue Dec 08 02:42:10 +0000 2015<||>Very heartening to see the people of Chennai volunteering to rescue people and offering any help possible. Humanity wins
674056759569350657<||>Tue Dec 08 02:43:49 +0000 2015<||>Amma failed in chennai, but was success in sticking own stickers on relief sent by others... https://t.co/wowXSmOcCk
674057699554914304<||>Tue Dec 08 02:47:33 +0000 2015<||>Fly - Airport &gt; Jet Airways Flight operations to and from Chennai:Jet Airways will... https://t.co/AjF0mr4dEV #transport
674057969391112193<||>Tue Dec 08 02:48:37 +0000 2015<||>@ANI_news How did it came to the mind of Rahul. At it looked that he had found Chennai rain worth no attention.
674058159971962880<||>Tue Dec 08 02:49:23 +0000 2015<||>Hi guys Chennai is floating in water please help them what you can do.
674058289831796736<||>Tue Dec 08 02:49:54 +0000 2015<||>Hi @RanaDaggubati, are u still helping with transportation of relief from hyd to chennai. If so, can you please share the pick up location?
674058304449077248<||>Tue Dec 08 02:49:57 +0000 2015<||>The remittances may be addressed to the joint secretary and treasurer, chief minister's public relief fund,... https://t.co/QXbCnAgS7m
674058432471678976<||>Tue Dec 08 02:50:28 +0000 2015<||>In chennai..No fresh water?Fill any water in ur pressure cooker&amp;wait for 10 whistles.Water will become sterile..bacteria/virus would die.
674058519918731264<||>Tue Dec 08 02:50:49 +0000 2015<||>With #Pappu coming, #Chennai will get comic 'relief' #ChennaiFloods
674058915924021248<||>Tue Dec 08 02:52:23 +0000 2015<||>Yet again , its rajdeep sardesai who visited chennai and spoke to volunteers about GROUND ZERO chennai ..  Glad... https://t.co/hhL41Vjt1a
674059216282259456<||>Tue Dec 08 02:53:35 +0000 2015<||>Harrowing personal account of #ChennaiFloods by VaishnaRoy-stuck in window deep water in her car&amp;navigating the city https://t.co/aKlku7FbBT
674059555706306560<||>Tue Dec 08 02:54:56 +0000 2015<||>'Car-cum-boat' helping victims in #Chennai https://t.co/L0yyYwtXI9 https://t.co/Ouiy4EQNdj
